Price,Close,High,Low,Open,Volume
Ticker,TM,TM,TM,TM,TM
Date,,,,,
2015-09-01,109.0210952758789,110.53713497815566,108.77319526880524,110.20341783441177,426000
2015-09-02,112.14852142333984,112.21526485210455,110.80410871959455,111.7957305715903,266100
2015-09-03,114.04595184326172,114.83734343569759,113.78850769898095,114.59897299998715,352100
2015-09-04,111.08061981201172,111.46201395295918,110.45131838827518,111.25224681171368,262200
2015-09-08,115.6001205444336,115.6954672605862,114.54175526381707,114.6084986925727,398400
2015-09-09,115.00896453857422,117.66917933752941,114.8373375426904,117.5261556285449,1331300
2015-09-10,112.4536361694336,113.42618432119761,111.93875516868034,113.42618432119761,2073300
2015-09-11,111.65270233154297,111.65270233154297,110.49899038141069,111.07107792968874,531200
2015-09-14,110.9375991821289,111.61457034573769,110.60388202746097,111.29992689961557,351200
2015-09-15,114.37966918945312,114.54175934012981,113.1687505747959,113.52153416456417,442200
2015-09-16,116.32476043701172,116.63941112505444,115.88615975420412,116.14359659701967,439600
2015-09-17,115.6001205444336,117.10662339290428,115.24733696722019,115.3998902581667,243300
2015-09-18,113.29269409179688,114.52268634458548,113.18781052395916,113.8171119309855,250300
2015-09-21,113.87432098388672,114.4368717013664,113.16874655492451,114.02687427484346,173800
2015-09-22,112.11038208007812,112.3964222306111,110.61341607470882,112.20572879692244,372700
2015-09-23,112.04364013671875,112.2629368609201,111.18550512476318,111.85293942601291,231300
2015-09-24,112.08177947998047,112.26293606074944,110.60387989911935,112.0531689177123,535800
2015-09-25,112.99711608886719,114.40826490349228,112.66339895530639,113.73129378270096,292400
2015-09-28,111.39036560058594,113.66225577954675,110.91665408686842,113.65258609025935,311700
2015-09-29,110.45260620117188,110.67496480255772,109.39883870646945,110.19158359379986,345800
2015-09-30,113.38188934326172,113.49790348271831,112.24110945394547,112.37645559540574,235100
2015-10-01,114.40665435791016,114.91904460535874,113.33355492203164,114.55167018734612,278000
2015-10-02,116.71722412109375,116.80422919396368,114.63868355139955,115.34441595071638,557000
2015-10-05,118.2543716430664,118.82476527119175,117.71298708143811,117.7419887721237,338300
2015-10-06,116.9009017944336,117.22960482942527,116.36918692649878,116.9009017944336,350100
2015-10-07,118.63140869140625,119.09545787105327,118.12869550794917,118.4670608598733,240700
2015-10-08,119.37581634521484,119.59816755176222,118.0513492912606,118.69907828537515,254200
2015-10-09,118.52507019042969,120.44892532434207,118.26404758464734,119.8592070389959,398800
2015-10-12,119.01811218261719,119.33714552478446,118.51539163572123,118.67007715040039,314500
2015-10-13,117.04591369628906,117.89666188193505,116.84289449434438,117.45195210017843,341400
2015-10-14,116.05982208251953,117.27793732259398,115.9148062560884,116.97824335689792,187400
2015-10-15,118.3703842163086,118.47672866462379,117.21993466225038,117.69364614741085,263300
2015-10-16,119.8398666381836,120.02355385508602,119.12446452490792,119.53050296413369,265200
2015-10-19,119.44348907470703,119.46282107599102,118.73774932695592,119.25013218281092,164700
2015-10-20,118.14802551269531,118.81509389222077,118.09969182084403,118.60240499580331,244100
2015-10-21,119.5885009765625,120.70027916567726,119.49182621572892,119.9172040143704,162900
2015-10-22,121.06765747070312,121.40602283239195,120.31357661003871,120.58427627520146,271200
2015-10-23,121.56069946289062,121.77338836638764,120.84529736770108,121.23200379444005,215200
2015-10-26,121.1643295288086,121.65737302662525,120.84529617670732,121.48336288090987,218500
2015-10-27,120.68094635009766,121.03864370035112,120.38124500497952,120.7389497310444,206000
2015-10-28,122.16009521484375,122.24710028885929,120.77762471315226,121.1643311412262,193100
2015-10-29,119.143798828125,119.30815404549045,118.38972531905648,119.23081128153164,267800
2015-10-30,118.54440307617188,119.45315467777574,118.51539400972997,119.12445901621533,196600
2015-11-02,119.2018051147461,119.40482433065866,118.77642730475121,119.08579097316249,573400
2015-11-03,119.28881072998047,119.41448718540715,118.77642784333325,119.25013934927725,569600
2015-11-04,119.45315551757812,119.77218886837896,118.9794440237236,119.37582013395702,302200
2015-11-05,120.70995330810547,121.02898666885733,120.45859302001504,120.50693409012112,319600
